mean_totaltime,Average Fitness
12335.90203,-1218.246472
12396.63493,-1218.821679
12459.444,-1220.249942
12522.88157,-1218.853892
12585.31227,-1220.934625
12647.22732,-1219.792465
12707.95382,-1219.762632
12770.33686,-1217.819044
12833.20918,-1218.993567
12896.81557,-1219.114086
12958.97821,-1219.069654
13023.42444,-1219.832851
13086.90235,-1220.588547
13149.95939,-1217.843585
13214.8704,-1218.933695
13278.31332,-1218.540474
13342.29491,-1219.083535
13404.31573,-1221.076755
13465.29136,-1220.365732
13526.70887,-1217.986482
13590.52374,-1219.40228
13654.7832,-1217.818409
13718.30046,-1218.816018
13781.31456,-1220.176623
13843.58471,-1218.819039
13905.20301,-1218.231392
13967.45721,-1219.155412
14030.04214,-1219.768839
14092.84348,-1219.087143
14155.60131,-1217.773162
14218.77685,-1218.442359
14281.016,-1219.142937
14346.43126,-1218.540456
14409.63096,-1220.27516
14475.35352,-1220.047078
14541.72266,-1217.934667
14605.84911,-1219.121418
14673.27209,-1219.250748
14737.62863,-1220.368594
14802.66072,-1220.611695
14867.97276,-1221.085498
14935.65309,-1216.312149
15001.18007,-1218.441571
